date,open,high,low,close,Some, volume
2020-05-04,58.400002,59.119999,57.849998,57.950001,55.814777,5162829
2020-05-05,58.750000,59.349998,58.369999,59.310001,57.124664,3256831
2020-05-06,59.209999,59.590000,58.349998,58.450001,56.296352,2351880
2020-05-07,58.660000,59.139999,57.680000,57.919998,55.785877,2774423
2020-05-08,58.500000,58.599998,57.610001,57.990002,55.853302,2093326
2020-05-11,58.200001,58.560001,57.009998,57.709999,55.583618,2620078
2020-05-12,57.619999,58.700001,57.619999,58.419998,56.267456,2112790
2020-05-13,57.590000,58.279999,57.160000,57.419998,55.304302,2824772
2020-05-14,56.869999,57.049999,55.369999,55.759998,53.705467,4114886
2020-05-15,56.290001,57.759998,56.279999,56.750000,54.658989,3496838
2020-05-18,57.810001,60.650002,57.810001,60.360001,58.135979,3542045
2020-05-19,60.980000,61.040001,60.040001,60.389999,58.164871,3464067
2020-05-20,60.349998,61.000000,59.349998,59.500000,57.307663,3419417
2020-05-21,59.049999,59.060001,57.770000,58.000000,55.862934,3004723
2020-05-22,57.150002,58.150002,57.099998,57.650002,55.525829,2186220
2020-05-25,60.029999,62.750000,59.650002,62.130001,59.840759,5271776
2020-05-26,62.900002,62.900002,60.740002,61.369999,59.108761,3269187
2020-05-27,61.400002,62.049999,61.110001,62.000000,59.715549,3979631
2020-05-28,62.599998,63.040001,62.119999,62.959999,60.640175,3275258
2020-05-29,62.320000,62.750000,60.720001,60.720001,58.482712,5283029
2020-06-02,62.840000,64.220001,62.689999,63.939999,61.584068,4277764
2020-06-03,64.779999,65.629997,63.939999,65.320000,62.913219,4655621
2020-06-04,63.750000,64.419998,62.660000,62.700001,60.389759,6647216
2020-06-05,63.650002,66.279999,63.349998,66.150002,63.712639,5710098
2020-06-08,65.900002,68.680000,65.589996,68.550003,66.024208,5081885
2020-06-09,68.500000,69.019997,65.800003,67.260002,64.781738,5119786
2020-06-10,67.629997,67.779999,66.820000,67.150002,64.675797,2456552
2020-06-11,65.639999,66.209999,64.150002,64.150002,61.786331,4051340
2020-06-12,63.689999,66.300003,62.720001,65.230003,62.826538,4573141
2020-06-15,63.689999,65.419998,63.189999,65.250000,62.845798,3405684
2020-06-16,67.709999,69.209999,67.129997,68.870003,66.332420,5808849
2020-06-17,69.129997,69.230003,68.059998,69.029999,66.486519,3164721
2020-06-18,68.900002,69.269997,68.120003,68.550003,66.024208,3697500
2020-06-19,69.120003,69.629997,68.489998,69.419998,66.862152,8674443
2020-06-22,68.870003,69.139999,68.370003,68.650002,66.120522,2551266
2020-06-23,69.800003,73.629997,69.540001,72.599998,69.924980,7726067
2020-06-24,72.900002,73.050003,69.989998,69.989998,67.411148,5399946
2020-06-25,70.690002,72.480003,67.250000,67.930000,65.427055,8661660
2020-06-26,68.559998,69.000000,66.459999,66.790001,64.329056,4892874
2020-06-29,66.290001,67.199997,65.699997,66.900002,64.435005,3675296
2020-06-30,66.900002,66.989998,65.730003,65.790001,63.365902,5019911
2020-07-01,66.870003,66.900002,65.180000,65.900002,63.471851,2914658
